score_bin,count,score_min,score_max,score_mean,confidence_median,original_ood_median,final_ood_median,panelness_anchor_max_median,panelness_nn1_median,dup_positive,score_col,ratio
0.95-1.00,4,0.9551976573938507,0.9934114202049781,0.9760659105278435,0.9235004186630249,1.0,0.9778272822562728,0.012079062957540264,0.01061493411420205,0,ood_score_v3_max,0.0029282576866764276
0.00-0.05,1147,0.0,0.049724652858431,0.007266196357990088,0.9980915784835817,0.0,0.0,0.465592972181552,0.5212298682284041,126,mislabel_score_v2_add,0.8396778916544656
0.05-0.10,73,0.0502123037474183,0.0981823008904757,0.07100268544542816,0.936900794506073,0.0,0.0,0.6017569546120058,0.26939970717423134,8,mislabel_score_v2_add,0.053440702781844804
0.10-0.15,33,0.1006219146428787,0.1497868809072886,0.12470314124980077,0.7805017232894897,0.0,0.0,0.6815519765739385,0.48096632503660325,7,mislabel_score_v2_add,0.024158125915080528
0.15-0.20,22,0.1515395894801121,0.1996454544847682,0.17882829143525542,0.7524940967559814,0.0,0.0,0.6262811127379209,0.13726207906295754,2,mislabel_score_v2_add,0.016105417276720352
0.20-0.25,10,0.2026435164119746,0.2464847463341613,0.22097117635688668,0.37469637393951416,0.0,0.0,0.7013177159590044,0.5009150805270863,3,mislabel_score_v2_add,0.007320644216691069
0.25-0.30,10,0.2516191800583853,0.2961159335920662,0.27586545107791427,0.4222084879875183,0.0,0.0,0.7822108345534406,0.5122620790629575,2,mislabel_score_v2_add,0.007320644216691069
0.30-0.35,6,0.3097704310315521,0.3459021277938854,0.33256208853519775,0.5163257420063019,0.0,0.0,0.9176427525622255,0.5629575402635432,0,mislabel_score_v2_add,0.004392386530014641
0.35-0.40,8,0.3531154230038668,0.3996200088670207,0.3808571761414373,0.30149257183074946,0.1017501017501016,0.030849796589181574,0.5995607613469985,0.501281112737921,2,mislabel_score_v2_add,0.005856515373352855
0.40-0.45,2,0.4034327485795853,0.4095832407756028,0.406507994677594,0.4241053462028503,0.0,0.0,0.5179355783308931,0.5140922401171303,0,mislabel_score_v2_add,0.0014641288433382138
0.45-0.50,2,0.461369386338099,0.4791074476907618,0.47023841701443037,0.18108046054840085,0.0,0.0,0.6504392386530015,0.1581259150805271,0,mislabel_score_v2_add,0.0014641288433382138
0.50-0.55,1,0.5499162270523426,0.5499162270523426,0.5499162270523426,0.2380528450012207,0.0,0.0,0.9370424597364568,0.8590775988286969,0,mislabel_score_v2_add,0.0007320644216691069
0.55-0.60,1,0.5800024343975394,0.5800024343975394,0.5800024343975394,0.2110668420791626,0.0,0.0,0.8967789165446559,0.16691068814055637,0,mislabel_score_v2_add,0.0007320644216691069
0.60-0.65,2,0.6026993051946044,0.6080258057363253,0.6053625554654648,0.40588054060935974,0.0,0.0,0.9176427525622255,0.4732796486090776,0,mislabel_score_v2_add,0.0014641288433382138
0.65-0.70,3,0.6589632063253871,0.6663670276918856,0.6633091561415937,0.4291419982910156,0.0,0.0,0.2335285505124451,0.1061493411420205,1,mislabel_score_v2_add,0.0021961932650073207
0.70-0.75,4,0.7186599300904658,0.7450850529798203,0.7338003340817181,0.641198456287384,0.0,0.0,0.6804538799414348,0.35340409956076135,0,mislabel_score_v2_add,0.0029282576866764276
0.75-0.80,0,,,,,,,,,0,mislabel_score_v2_add,0.0
0.80-0.85,6,0.8052117760368651,0.8431368042860263,0.8285639813514024,0.7916126847267151,0.0,0.0,0.6394582723279649,0.2886163982430454,0,mislabel_score_v2_add,0.004392386530014641
0.85-0.90,6,0.8761252182367625,0.8996263283849204,0.8867077417062683,0.8367285430431366,0.0,0.0,0.5234260614934114,0.1650805270863836,0,mislabel_score_v2_add,0.004392386530014641
